Item,Meaning_Mnem,Reading_Mnem,Meaning_Score,Reading_Score,Meaning_User,Reading_User,Info,Last_Updated
k夕,,!,,,,c,,Tue May 05 2020 12:59:03 GMT-0400 (EDT)
v被る,!,"Why do you <span class=""highlight-vocabulary"">put on a hat</span>?

To <span class=""highlight-reading"">cover</span> (かぶる) your head, obviously.",,2,xpetersx,fioraaeterna,,Thu Sep 17 2020 14:28:25 GMT-0400 (EDT)
v小皿,!,"If you're an adult, you get the big plate but if you're a child, you get the small plate. The <span class=""highlight-kanji"">子</span> <span class=""highlight-kanji"">皿</span> if you will.",,1,ExtremeWQ,c,,Tue Dec 15 2020 18:25:53 GMT-0500 (EST)
k岡,,!,,,,c,,Tue Dec 29 2020 10:38:32 GMT+0000 (Mittlere Greenwich-Zeit)
k努,!,!,,,ExtremeWQ,ExtremeWQ,,Sun May 21 2017 19:47:30 GMT-0400 (EDT)
k族,,!,,,,c,,Mon Aug 10 2020 22:33:11 GMT-0400 (EDT)
v本社,,,,,,,redfr:8586,Wed Feb 12 2020 07:34:19 GMT-0500 (EST)
k林,,"Did you know the most feared <span class=""highlight-vocabulary"">FOREST </span>on the planet is known as <span class=""highlight-reading"">Hayashi</span> Forest? A legendary Samurai who is known as Shino  <span class=""highlight-reading"">Hayashi</span> lives there and he kills everyone that dares enter! Make sure to never set foot there, and tell your friends the same thing. Spread the legend, save lives!",,0,,c,,Mon Jan 27 2020 06:52:12 GMT-0500 (EST)
v回る,,,,,,,,Mon Aug 26 2019 09:14:36 GMT-0400 (EDT)
v今日,,!,,,,c,,Tue Oct 23 2018 11:44:51 GMT-0400 (EDT)
k声,,!,,,,c|Dakes,,Mon Dec 14 2020 15:34:27 GMT-0500 (EST)
k央,,,,,,,redfr:8606,Fri Nov 27 2020 14:57:12 GMT-0500 (EST)
v舌,,!,,,,xpetersx,,Wed Feb 03 2016 20:44:29 GMT-0500 (EST)
v集まる,,,,,,,,Mon Jul 15 2019 09:26:30 GMT-0400 (EDT)
v生きる,,!,,,,c,,Sun Apr 15 2018 04:53:02 GMT-0400 (EDT)
v参る,,"Do you want <span class=""highlight-vocabulary"">to come</span> to <span class=""highlight-reading"">my (まい) funeral or not?</span>",,0,,c,,Tue Jul 21 2020 15:30:30 GMT-0400 (EDT)
v最悪,,!,,,,c,,Sun Dec 23 2018 00:34:49 GMT-0500 (EST)
v支える,,,,,,,,Fri Oct 09 2020 15:11:50 GMT-0400 (EDT)
k漂,,!,,,,,,Fri Jan 18 2019 05:12:01 GMT-0500 (EST)
k簿,!,!,,,,,,Wed Jan 30 2019 16:27:00 GMT-0500 (EST)
k達,"You've done it. Your lifelong goal. You've finally attained it: happiness on a scooter. They said it couldn't be done, ""but happiness isn't even a physical object how are you supposed to put it on a scooter???"" You can still hear them yelling at you because they don't understand. But you've shown them its possible to attain. Now it's right in front of you. You're happy now, but you've attained another thing: and empty feeling. What accomplishment do you want to attain next to fill the void?",,0,,c,,,Thu Oct 01 2020 09:29:02 GMT-0400 (EDT)
v家,,,,,,,redfr:8585,Thu Aug 22 2019 03:00:59 GMT-0400 (EDT)
k動,,"Exact same as reading as 働 from last level which looks the same, just without イ radical.",,0,,c,,Mon Mar 30 2020 23:45:43 GMT-0400 (EDT)
v説得,"What's the core of a <span class=""highlight-kanji"">theory</span> of <span class=""highlight-kanji"">acquisition</span>? <span class=""highlight-vocabulary"">Persuasion</span>, of course. Think about the Ferengi trying to persuade you to be parted from your money.|About the <span class=""highlight-kanji"">theories</span> you have <span class=""highlight-kanji"">acquired</span>... You have acquired too many, so now the government is in <span class=""highlight-vocabulary"">persuasion</span> of you.",!,0|0,,fioraaeterna|c,c,,Sat Nov 30 2019 11:20:27 GMT-0500 (EST)
v五月,,,,,,,,Sun Oct 20 2019 10:29:53 GMT-0400 (EDT)
v上がる,,,,,,,,Wed May 20 2020 08:36:28 GMT-0400 (EDT)
v去年,,!,,,,c,,Sun May 06 2018 05:02:17 GMT-0400 (EDT)
v薬,,!,,,,c,,Mon Jun 12 2017 11:54:14 GMT-0400 (EDT)
k寒,,!,,,,frankiebluej,,Tue Jan 24 2017 09:32:41 GMT-0500 (EST)
v迫る,,!,,,,xpetersx|ript:void(0)|c,,Sat Aug 22 2020 22:26:08 GMT-0400 (EDT)
k含,,!,,,,c,,Wed Aug 22 2018 22:59:55 GMT-0400 (EDT)
k空,"You wear a <span class=""highlight-radical"">helmet</span> in a <span class=""highlight-radical"">construction</span> area because crap <b><u>cou</u></b>ld fall from the <span class=""highlight-kanji"">SKY</span>.",!,0,,c,c|Dakes,,Sun Dec 13 2020 06:34:16 GMT-0500 (EST)
v深い,,,,,,,redfr:8586,Mon Oct 21 2019 05:57:43 GMT-0400 (EDT)
v毛,,!,,,,c,,Mon Jan 22 2018 09:15:25 GMT-0500 (EST)
v量る,,!,,,,xpetersx,,Thu Apr 28 2016 02:55:08 GMT-0400 (EDT)
v補う,,!,,,,c,,Thu Dec 21 2017 20:20:08 GMT-0500 (EST)
v過ぎる,,!,,,,c,,Mon Jan 01 2018 08:54:41 GMT-0500 (EST)
k安,"With a roof over her head, a young girl can RELAX. This was true for あん of Green Gables who was an orphan moving from house to house, but she finally had a home that said やす to her and she was able to finally RELAX.",!,0,,c,c,,Mon Nov 02 2020 22:30:28 GMT-0500 (EST)
v乱れる,,"<span class=""highlight-reading"">Midas</span> (みだ) caused a great deal of <span class=""highlight-vocabulary"">disorder</span> when he started turning things into gold. He turned so much stuff into gold that it stopped being <span class=""highlight-reading"">rare</span> (れる)!",,3,,fioraaeterna,,Sat Sep 05 2020 07:51:00 GMT-0400 (EDT)
v体,,"You’re such a fast runner that the cops have started to pull you over when you’re out for your morning jog. To combat this, you have installed a car radar detector in your body! Your body is now a car radar (KARADA).",,0,,c,,Sun Oct 25 2020 17:42:25 GMT-0400 (EDT)
v同じ,,!,,,,c,,Sat Jun 01 2019 23:41:38 GMT-0400 (EDT)
v走る,,"What do you use to Run? your leg and your feet, remember how to say leg/feet: Ashi, the verb version of your legs and feets is using them With an H to run, Ha Shi Ru :　はしる.",,1,,c,,Tue Dec 29 2020 06:28:13 GMT+0000 (Greenwich Mean Time)
v変化,,!,,,,blupiac,,Sun Jul 17 2016 19:40:53 GMT-0400 (EDT)
v思う,,!,,,,c,,Tue Jun 23 2020 17:23:42 GMT-0400 (EDT)
v欠ける,,,,,,,,Fri Apr 10 2020 14:21:12 GMT-0400 (EDT)
k鬱,,!,,,,ript:void(0),,Fri Jan 18 2019 05:22:16 GMT-0500 (EST)
k署,,"With politics how it is nowadays, a <span class=""highlight-kanji"">government office</span> is basically a circus <span class=""highlight-reading"">show</span> (しょ). That's what the <span class=""highlight-radical"">net</span> is for (think about a circus show you've seen!). It catches <span class=""highlight-radical"">someone</span> when they get fired.",,0,,fioraaeterna,,Tue Oct 15 2019 17:13:04 GMT-0400 (EDT)
v上げる,!,,,,c,,,Tue Dec 10 2019 11:50:31 GMT-0500 (EST)
v年,,"You can really <span class=""highlight-reading"">toss</span> the <span class=""highlight-reading"">shi*</span> (とし) <span class=""highlight-vocabulary"">year</span> 2020 out the window.",,0,,Dakes,,Tue Dec 08 2020 18:23:52 GMT-0500 (EST)
v翻る,,!,,,,Samuel-H,,Tue Feb 17 2015 21:21:55 GMT-0500 (EST)
v白,,"A bride and groom spend their honeymoon on a rowboat in the middle of a pristine lake. The bride hasn't got out of her <span class=""highlight-vocabulary"">white</span> wedding dress yet. While he lazes back ... well... <span class=""highlight-reading"">she row</span>!",,0,,c,,Thu Apr 23 2020 02:45:44 GMT-0400 (EDT)
v試す,"For those confused on the similiar words 試す and 試みる

試す means to test the quality of. where as 試みる means to attempt to see if it will fail or succeed. 

試す　I will try this new fish. We'll see if it tastes good or not.
試みる I will try to finish the entire homework. but I might not succeed before the deadline.",!,0,,c,c,,Sat Aug 15 2020 19:03:49 GMT-0400 (EDT)
v流行語,,!,,,,Sketchin,,Mon Jul 27 2015 11:36:08 GMT-0400 (EDT)
k側,,!,,,,blupiac,,Wed Aug 24 2016 18:41:42 GMT-0400 (EDT)
v顔面,,!,,,,c,,Sat Dec 09 2017 07:52:05 GMT-0500 (EST)
k細,,!,,,,WiteHaze|gcr,,Mon Aug 24 2015 18:47:57 GMT-0400 (EDT)
k割,!,!,,,c,c,,Sun Feb 16 2020 21:55:55 GMT-0500 (EST)
k続,,"You're going to <span class=""highlight-kanji"">continue</span> to <span class=""highlight-radical"">sell</span> <span class=""highlight-radical"">thread</span> so you can support your <span class=""highlight-reading"">tribe</span> (族, ぞく).",,4,,fioraaeterna,,Tue Nov 24 2020 08:29:59 GMT-0500 (EST)
k律,,!,,,,c,,Thu Feb 01 2018 06:38:16 GMT-0500 (EST)
v潔い,,!,,,,ript:void(0)|c,,Mon Aug 31 2020 17:17:42 GMT-0400 (EDT)
k専,,!,,,,gcr|c,,Wed Feb 20 2019 07:22:17 GMT-0500 (EST)
